City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Disna,55.568,28.1971,23.22,97,100,13.62,BY,2021-02-02 21:58:06
146,Lingao,19.9103,109.6859,64.42,93,4,9.44,CN,2021-02-02 21:58:06
147,Longyearbyen,78.2186,15.6401,19.4,86,90,11.5,SJ,2021-02-02 21:58:06
148,Cabedelo,-6.9811,-34.8339,80.6,78,20,11.5,BR,2021-02-02 21:53:51
149,Almaznyy,48.0448,40.045,46.4,93,75,8.95,RU,2021-02-02 21:58:06
150,Rio Grande,-32.035,-52.0986,77.47,82,8,10.67,BR,2021-02-02 21:56:11
151,Namtsy,62.7161,129.6658,-38.2,67,100,4.47,RU,2021-02-02 21:58:06
152,Saint-Philippe,-21.3585,55.7679,80.6,74,40,4.61,RE,2021-02-02 21:58:06
153,Akdepe,42.0551,59.3788,32.0,69,0,9.22,TM,2021-02-02 21:58:06
154,Iracoubo,5.4802,-53.2011,77.61,88,99,14.2,GF,2021-02-02 21:58:07
155,Gubkinskiy,64.434,76.5026,5.09,95,93,10.87,RU,2021-02-02 21:58:07
156,Sitka,57.0531,-135.33,35.6,64,20,6.91,US,2021-02-02 21:58:07
157,Moshkovo,55.3053,83.6104,8.6,78,0,8.95,RU,2021-02-02 21:58:07
158,Wyndham,37.6985,-77.6125,39.99,60,90,16.11,US,2021-02-02 21:55:08
159,Gewane,10.1664,40.6453,65.07,45,0,3.94,ET,2021-02-02 21:58:07
160,Takoradi,4.8845,-1.7554,79.56,86,0,8.97,GH,2021-02-02 21:58:07
161,Daru,-9.0763,143.2092,77.92,88,70,13.78,PG,2021-02-02 21:58:07
162,Ribeira Grande,38.5167,-28.7,57.2,62,40,28.77,PT,2021-02-02 21:57:14
163,Tari,12.4086,4.4914,77.14,17,0,9.31,NG,2021-02-02 21:58:07
164,Smithers,54.7804,-127.1743,24.8,80,90,3.44,CA,2021-02-02 21:58:08
165,Mudgee,-32.5943,149.5871,64.4,68,40,8.05,AU,2021-02-02 21:58:08
166,Pevek,69.7008,170.3133,8.19,92,100,10.65,RU,2021-02-02 21:57:20
167,Uniontown,39.9001,-79.7164,30.0,41,100,4.0,US,2021-02-02 21:58:08
168,Veraval,20.9,70.3667,71.13,46,0,11.83,IN,2021-02-02 21:53:54
169,Torbay,47.6666,-52.7314,28.0,86,90,6.91,CA,2021-02-02 21:57:30
170,East London,-33.0153,27.9116,70.48,78,90,15.3,ZA,2021-02-02 21:58:08
171,Hirara,24.8,125.2833,62.6,63,75,12.66,JP,2021-02-02 21:58:08
172,Sendafa,9.15,39.0333,50.29,44,0,0.81,ET,2021-02-02 21:58:09
173,Teya,60.3778,92.6267,-8.91,87,100,4.36,RU,2021-02-02 21:57:28
174,Meulaboh,4.1363,96.1285,76.01,87,67,4.59,ID,2021-02-02 21:58:09
175,Dunedin,-45.8742,170.5036,68.0,67,75,5.01,NZ,2021-02-02 21:53:23
176,Pasaje,-3.3333,-79.8167,86.0,58,75,5.75,EC,2021-02-02 21:58:09
177,Bilma,18.6853,12.9164,65.28,26,0,7.92,NE,2021-02-02 21:58:09
178,Launceston,-41.45,147.1667,61.0,72,12,16.11,AU,2021-02-02 21:58:09
179,Cururupu,-1.8283,-44.8683,77.7,83,38,3.85,BR,2021-02-02 21:58:09
180,Acapulco,16.8634,-99.8901,86.0,70,1,9.22,MX,2021-02-02 21:58:09
181,Wonthaggi,-38.6044,145.5913,62.01,78,13,6.62,AU,2021-02-02 21:58:10
182,Tilichiki,60.4667,166.1,13.64,97,94,7.38,RU,2021-02-02 21:58:10
183,Traverse City,44.7631,-85.6206,30.2,59,20,13.8,US,2021-02-02 21:54:11
184,Geraldton,-28.7667,114.6,71.6,83,40,10.36,AU,2021-02-02 21:58:10
185,Lodwar,3.1191,35.5973,80.58,38,2,6.62,KE,2021-02-02 21:58:10
186,Dwarka,22.2394,68.9678,69.01,74,22,7.7,IN,2021-02-02 21:58:10
187,Ozinki,51.1786,49.6769,34.03,97,100,9.71,RU,2021-02-02 21:58:10
188,Nanortalik,60.1432,-45.2371,16.23,86,0,16.98,GL,2021-02-02 21:58:10
189,Omsukchan,62.5333,155.8,-29.51,82,100,6.29,RU,2021-02-02 21:58:10
190,Krutikha,53.9599,81.2093,7.77,94,100,9.46,RU,2021-02-02 21:58:10
191,Klaksvik,62.2266,-6.589,35.6,75,60,16.11,FO,2021-02-02 21:58:11
192,Chicama,-7.8447,-79.1469,71.6,83,0,12.66,PE,2021-02-02 21:58:11
193,Hofn,64.2539,-15.2082,31.3,96,100,15.03,IS,2021-02-02 21:58:11
194,Bogale,16.2833,95.4,63.72,66,0,8.99,MM,2021-02-02 21:58:11
195,San Patricio,28.017,-97.5169,69.8,40,20,12.66,US,2021-02-02 21:58:11
196,Mandera,3.9366,41.867,81.12,25,15,13.0,KE,2021-02-02 21:58:11
197,Nome,64.5011,-165.4064,12.99,62,75,20.71,US,2021-02-02 21:58:11
198,Palmer,42.1584,-72.3287,34.0,86,90,6.91,US,2021-02-02 21:58:11
199,Sisimiut,66.9395,-53.6735,-5.13,81,0,12.37,GL,2021-02-02 21:58:11
200,Presidencia Roque Saenz Pena,-26.7852,-60.4388,82.0,88,72,1.99,AR,2021-02-02 21:58:03
201,Muzhi,65.3667,64.6667,10.0,93,100,3.22,RU,2021-02-02 21:58:12
202,Naze,28.3667,129.4833,55.4,58,75,10.36,JP,2021-02-02 21:58:12
203,Plouzane,48.3833,-4.6167,51.8,93,90,14.97,FR,2021-02-02 21:58:12
204,Kuytun,54.3419,101.5036,-3.51,92,100,4.88,RU,2021-02-02 21:58:12
205,Kavaratti,10.5669,72.642,80.8,70,0,1.25,IN,2021-02-02 21:58:12
206,Avera,33.194,-82.5271,51.8,35,1,17.27,US,2021-02-02 21:58:12
207,Warwick,41.7001,-71.4162,34.0,80,90,18.41,US,2021-02-02 21:57:40
208,Port Blair,11.6667,92.75,75.65,80,0,11.88,IN,2021-02-02 21:58:12
209,Derzhavinsk,51.1,66.3167,23.68,98,100,20.92,KZ,2021-02-02 21:58:12
210,Saint-Ambroise,48.5501,-71.3324,23.0,73,90,5.75,CA,2021-02-02 21:58:12
211,Palora,-1.7,-77.9333,71.6,88,75,2.3,EC,2021-02-02 21:58:13
212,Rantepao,-2.9701,119.8978,65.91,85,100,2.95,ID,2021-02-02 21:54:32
213,Shache,38.4167,77.2406,27.14,79,100,0.45,CN,2021-02-02 21:58:13
214,Katsuura,35.1333,140.3,37.4,65,20,11.5,JP,2021-02-02 21:58:13
215,Mitsamiouli,-11.3847,43.2844,82.65,72,71,3.51,KM,2021-02-02 21:58:13
